TID;TEXT
action_create_image;Créer une image
ai_default_image_prompt;Image créative
ai_mode_server_routing_desc;Les modèles et limites sont choisis côté serveur pour le compte actif.
ai_mode_server_routing_title;Routage serveur
ai_mode_task_modes_desc;Les modes image, recherche, achat et étude ajoutent du contexte sans changer manuellement de modèle.
ai_mode_task_modes_title;Modes de tâche
ai_mode_title;Mode IA
ai_prompt_attached_file;Fichier joint
ai_prompt_binary_file_no_excerpt;(Fichier binaire sans extrait texte)
ai_prompt_chat_context_summary;Contexte compressé du dialogue précédent :\n%s
ai_prompt_files_context;Courts extraits des fichiers joints précédemment :\n%s
ai_prompt_short_excerpt;Court extrait
ai_prompt_user_instructions;Instructions utilisateur :\n%s
ai_summary_file_excerpt_label;Extrait du fichier
ai_summary_file_label;Fichier
ai_summary_prompt;Fais un bref résumé des faits importants de cette partie de la conversation :
ai_system_prompt_shopping;Tu es un assistant d'achat. Trouve des options, compare les caractéristiques et signale les limites réelles.
ai_system_prompt_study;Tu es un assistant d'étude. Explique étape par étape, vérifie la compréhension et aide à consolider le sujet.
ai_thinking;Sto pensando...
anonymous_mode_desc;Votre chat ne sera pas enregistré sur l'appareil.\nAprès la fermeture de l'onglet, tous les messages disparaîtront.
anonymous_mode_title;Mode incognito
app_brand;FreeChat
app_version;FreeChat Android %s
attachment_context_file_summary;Résumé du fichier
attachment_context_mime;MIME
attachment_context_preview;Aperçu
attachment_context_truncated;[Contexte tronqué pour la confidentialité et les tokens]
attachment_empty_text;[Fichier/Image sans texte]
attachment_read_error;Impossible de lire la pièce jointe
attachment_text_truncated;[Contenu du fichier tronqué]
attachment_too_large;La pièce jointe est trop volumineuse à analyser
auth_about_subtitle;Ces informations servent uniquement à votre profil FreeChat.
auth_about_title;Parlez-nous de vous
auth_agreement_hint;Les données servent uniquement à configurer votre compte FreeChat.
auth_birth_date_picker_title;Choisissez votre date de naissance
auth_birth_date_placeholder;Date de naissance
auth_bot_code_placeholder;Code du bot
auth_continue_with_telegram;Continuer avec Telegram
auth_create_account;Créer un compte
auth_error_birth_date_required;Choisissez votre date de naissance
auth_error_bot_link_not_ready;Le lien du bot Telegram n'est pas encore prêt
auth_error_code_required;Saisissez le code à 6 chiffres
auth_error_full_name_required;Saisissez votre nom complet
auth_error_password_too_short;Le mot de passe doit contenir au moins 6 caractères
auth_error_restart_login;Recommencez la connexion
auth_error_restart_registration;Recommencez l'inscription
auth_error_telegram_code_missing;Telegram n'a pas renvoyé de code d'autorisation
auth_error_telegram_cross_app_failed;Échec de Telegram cross-app auth : %s
auth_error_telegram_id_token_missing;Telegram n'a pas renvoyé id_token
auth_error_telegram_login_not_configured;Telegram Login n'est pas configuré. Renseignez TELEGRAM_LOGIN_CLIENT_ID et TELEGRAM_LOGIN_REDIRECT_URI.
auth_error_telegram_malformed_id_token;Telegram a renvoyé un token ID mal formé
auth_error_telegram_native_url_missing;Telegram n'a pas renvoyé d'URL native d'authentification
auth_error_telegram_nonce_mismatch;Le nonce du token ID Telegram ne correspond pas
auth_error_telegram_session_expired;La session Telegram Login a expiré. Réessayez.
auth_error_telegram_token_exchange_failed;Échec de l'échange du token Telegram : %s
auth_error_verify_code_first;Confirmez d'abord le code Telegram
auth_full_name_placeholder;Nom complet
auth_info_login_canceled;Connexion Telegram annulée
auth_info_opening_telegram;Ouverture de Telegram...
auth_info_verifying_telegram_data;Vérification des données Telegram...
auth_info_verifying_telegram_token;Vérification du token ID Telegram...
auth_open_telegram;Ouvrir Telegram
auth_opening_telegram;Ouverture de Telegram...
auth_or;ou
auth_password_placeholder;Mot de passe
auth_password_subtitle;Telegram est confirmé. Définissez maintenant un mot de passe pour terminer la création du compte.
auth_password_title;Créez un mot de passe
auth_privacy_policy;Politique de confidentialité
auth_refresh_widget;Actualiser le widget
auth_signed_in_desc;Vous pouvez continuer dans l'application.
auth_signed_in_subtitle;Compte confirmé et autorisation terminée.
auth_signed_in_title;Vous êtes connecté à FreeChat
auth_telegram_code_register_subtitle;Nous avons ouvert le bot Telegram. Envoyez /start puis saisissez le code du chat pour continuer.
auth_telegram_code_title;Confirmez Telegram
auth_telegram_code_widget_subtitle;Confirmez la connexion dans Telegram Login Widget.
auth_telegram_confirmed_desc;Vous continuez avec un compte FreeChat confirmé.
auth_telegram_confirmed_title;Telegram confirmé
auth_telegram_login_not_completed;Telegram Login n'est pas terminé
auth_telegram_login_open_error;Impossible d'ouvrir Telegram Login
auth_telegram_open_error;Impossible d'ouvrir Telegram. Vérifiez qu'il est installé.
auth_telegram_read_response_error;Impossible de lire la réponse Telegram
auth_telegram_widget_backend_not_configured;Telegram Login Widget n'est pas configuré côté backend. Vérifiez TELEGRAM_BOT_TOKEN et TELEGRAM_BOT_USERNAME.
auth_telegram_widget_load_error;Impossible de charger Telegram Login Widget
auth_telegram_widget_server_open_error;Le serveur n'a pas pu ouvrir Telegram Login Widget
auth_telegram_widget_subtitle;Confirmez la connexion dans le widget officiel Telegram Login.
auth_telegram_widget_title;Connexion avec Telegram
auth_telegram_widget_unavailable;Pas de connexion ou Telegram Login Widget indisponible
auth_terms;Conditions d'utilisation
auth_welcome_subtitle;Confirmez Telegram pour créer un compte ou vous connecter à FreeChat en sécurité.
auth_welcome_title;Se connecter ou s'inscrire
button_about;Informazioni su
button_camera;Fotocamera
button_cancel;Annulla
button_change_password;Cambia password
button_confirm;Confirmer
button_continue;Continuer
button_create_idea;Genera un'idea
button_create_image;Crea immagine
button_create_image_description;Crea qualsiasi immagine
button_delete;Elimina
button_edit_profile;Modifica profilo
button_files;File
button_hide_password;Nascondi password
button_language;Lingua
button_more;Plus
button_new_chat;Nuova chat
button_ok;OK
button_personalization;Personalizzazione
