TID;TEXT
action_create_image;Создать изображение
ai_default_image_prompt;Креативное изображение
ai_mode_server_routing_desc;Модели и лимиты выбираются на сервере для текущего аккаунта.
ai_mode_server_routing_title;Серверная маршрутизация
ai_mode_task_modes_desc;Режимы изображений, поиска, покупок и обучения добавляют контекст к запросу без ручного выбора модели.
ai_mode_task_modes_title;Режимы задач
ai_mode_title;Режим работы ИИ
ai_prompt_attached_file;Прикреплённый файл
ai_prompt_binary_file_no_excerpt;(Бинарный файл без текстовой выдержки)
ai_prompt_chat_context_summary;Сжатый контекст предыдущего диалога:\n%s
ai_prompt_files_context;Краткие выдержки из ранее прикреплённых файлов:\n%s
ai_prompt_short_excerpt;Краткая выдержка
ai_prompt_user_instructions;Инструкции пользователя:\n%s
ai_summary_file_excerpt_label;Выдержка из файла
ai_summary_file_label;Файл
ai_summary_prompt;Сделай краткую сводку важных фактов из этой части переписки:
ai_system_prompt_shopping;Ты помощник по покупкам. Ищи варианты, сравнивай характеристики и отмечай реальные ограничения.
ai_system_prompt_study;Ты учебный помощник. Объясняй пошагово, проверяй понимание и помогай закрепить материал.
ai_thinking;Думаю...
anonymous_mode_desc;Этот чат не будет отображаться в вашей истории переписки и будет стерт после перезахода в приложение
anonymous_mode_title;Режим инкогнито
app_brand;FreeChat
app_version;FreeChat Android %s
attachment_context_file_summary;Сводка файла
attachment_context_mime;MIME
attachment_context_preview;Предпросмотр
attachment_context_truncated;[Контекст обрезан для приватности и экономии токенов]
attachment_empty_text;[Файл/Изображение без текста]
attachment_read_error;Не удалось прочитать вложение
attachment_text_truncated;[Содержимое файла обрезано]
attachment_too_large;Вложение слишком большое для анализа
auth_about_subtitle;Эти данные нужны только для вашего профиля FreeChat.
auth_about_title;Расскажите о себе
auth_agreement_hint;Данные понадобятся только для настройки вашего аккаунта FreeChat.
auth_birth_date_picker_title;Выберите дату рождения
auth_birth_date_placeholder;Дата рождения
auth_bot_code_placeholder;Код из бота
auth_continue_with_telegram;Продолжить через Telegram
auth_create_account;Создать аккаунт
auth_error_birth_date_required;Выберите дату рождения
auth_error_bot_link_not_ready;Ссылка на Telegram-бота ещё не готова
auth_error_code_required;Введите 6-значный код
auth_error_full_name_required;Укажите полное имя
auth_error_password_too_short;Пароль должен содержать минимум 6 символов
auth_error_restart_login;Начните вход заново
auth_error_restart_registration;Начните регистрацию заново
auth_error_telegram_code_missing;Telegram не вернул authorization code
auth_error_telegram_cross_app_failed;Ошибка Telegram cross-app auth: %s
auth_error_telegram_id_token_missing;Telegram не вернул id_token
auth_error_telegram_login_not_configured;Telegram Login не настроен. Укажите TELEGRAM_LOGIN_CLIENT_ID и TELEGRAM_LOGIN_REDIRECT_URI.
auth_error_telegram_malformed_id_token;Telegram вернул некорректный ID token
auth_error_telegram_native_url_missing;Telegram не вернул native auth URL
